招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(080800)电气工程,全日制,(03)电力电子与电气传动,,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(080800)电气工程,全日制,(01)高电压与绝缘技术,,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(080800)电气工程,全日制,(02)电力系统及其自动化,,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(080800)电气工程,全日制,(05)电工理论与新技术,,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10289)江苏科技大学,统考,(004)电子信息学院,(080800)电气工程,全日制,(02)电力系统综合自动化,不区分指导教师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)电力电子技术
(10291)南京工业大学,统考,(006)电气工程与控制科学学院,(080800)电气工程,全日制,(04)电机与电器,,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(819)电路
(10289)江苏科技大学,统考,(004)电子信息学院,(080800)电气工程,全日制,(01)船舶电力系统,不区分指导教师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)电力电子技术
(10289)江苏科技大学,统考,(004)电子信息学院,(080800)电气工程,全日制,(03)电力电子装置与系统,不区分指导教师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)电力电子技术
(10289)江苏科技大学,统考,(004)电子信息学院,(080800)电气工程,全日制,(04)电气传动控制系统,不区分指导教师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)电力电子技术
(10289)江苏科技大学,统考,(004)电子信息学院,(080800)电气工程,全日制,(05)新能源技术,不区分指导教师,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)电力电子技术
(10295)江南大学,统考,(019)物联网工程学院,(080800)电气工程,全日制,(01)电机与电器,不区分导师,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(807)自动控制原理
(10295)江南大学,统考,(019)物联网工程学院,(080800)电气工程,全日制,(02)电力电子与电力传动,不区分导师,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(807)自动控制原理
(10295)江南大学,统考,(019)物联网工程学院,(080800)电气工程,全日制,(04)机电一体化技术,不区分导师,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(807)自动控制原理
(10295)江南大学,统考,(019)物联网工程学院,(080800)电气工程,全日制,(03)电力系统及其自动化,不区分导师,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(807)自动控制原理
(10295)江南大学,统考,(019)物联网工程学院,(080800)电气工程,全日制,(05)新能源发电及节能技术,不区分导师,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(807)自动控制原理
(10294)河海大学,统考,(006)能源与电气学院,(080800)电气工程,全日制,(01)电力系统及其自动化,不区分导师,专业：30(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(843)电力系统分析
