招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10060)天津理工大学,统考,(001)语言文化学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：17(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10068)天津外国语大学,统考,(008)高级翻译学院,(055112)(专业学位)朝鲜语口译,全日制,(00)不区分方向,,专业：6(不含推免),(101)思想政治理论,(216)翻译硕士朝鲜语,(362)朝鲜语翻译基础,(448)汉语写作与百科知识
(10080)河北工业大学,统考,(022)外国语学院,(055101)(专业学位)英语笔译,全日制,(01)人文社科翻译,不区分导师,专业：29(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10112)太原理工大学,统考,(026)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：10(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10112)太原理工大学,统考,(026)外国语学院,(055105)(专业学位)日语笔译,全日制,(00)不区分研究方向,,专业：3(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10094)河北师范大学,统考,(008)外国语学院,(055102)(专业学位)英语口译,全日制,(01)英语口译,,专业：14(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10094)河北师范大学,统考,(008)外国语学院,(055101)(专业学位)英语笔译,全日制,(01)英语笔译,,专业：29(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(11832)河北经贸大学,统考,(410)外国语学院,(055100)(专业学位)翻译,全日制,(01)英语笔译,不区分导师,专业：17(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(11832)河北经贸大学,统考,(410)外国语学院,(055100)(专业学位)翻译,全日制,(02)英语口译,不区分导师,专业：17(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10126)内蒙古大学,统考,(005)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：54(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10126)内蒙古大学,统考,(005)外国语学院,(055105)(专业学位)日语笔译,全日制,(00)不区分研究方向,,专业：30(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10126)内蒙古大学,统考,(005)外国语学院,(055103)(专业学位)俄语笔译,全日制,(00)不区分研究方向,,专业：22(不含推免),(101)思想政治理论,(212)翻译硕士俄语,(358)俄语翻译基础,(448)汉语写作与百科知识
(10126)内蒙古大学,统考,(005)外国语学院,(055102)(专业学位)英语口译,全日制,(00)不区分研究方向,,专业：25(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10081)华北理工大学,统考,(009)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：43(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10082)河北科技大学,统考,(012)外国语学院,(055100)(专业学位)翻译,全日制,(02)英语口译,不区分,研究方向：6(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10135)内蒙古师范大学,统考,(012)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,请咨询各招生学院,专业：10(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10135)内蒙古师范大学,统考,(012)外国语学院,(055102)(专业学位)英语口译,全日制,(00)不区分研究方向,请咨询各招生学院,专业：10(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10135)内蒙古师范大学,统考,(012)外国语学院,(055104)(专业学位)俄语口译,全日制,(00)不区分研究方向,请咨询各招生学院,专业：5(不含推免),(101)思想政治理论,(212)翻译硕士俄语,(358)俄语翻译基础,(448)汉语写作与百科知识
(10216)燕山大学,统考,(010)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分方向,可登录燕山大学研究生院网站导师信息栏目查看。,专业：25(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10216)燕山大学,统考,(010)外国语学院,(055105)(专业学位)日语笔译,全日制,(00)不区分方向,可登录燕山大学研究生院网站导师信息栏目查看。,专业：2(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10135)内蒙古师范大学,统考,(012)外国语学院,(055103)(专业学位)俄语笔译,全日制,(00)不区分研究方向,请咨询各招生学院,专业：5(不含推免),(101)思想政治理论,(212)翻译硕士俄语,(358)俄语翻译基础,(448)汉语写作与百科知识
(10141)大连理工大学,统考,(140)（主校区）外国语学院,(055102)(专业学位)英语口译,全日制,(01)会议口译,,专业：3(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10141)大连理工大学,统考,(140)（主校区）外国语学院,(055101)(专业学位)英语笔译,全日制,(02)中国文化翻译,,专业：8(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10141)大连理工大学,统考,(140)（主校区）外国语学院,(055101)(专业学位)英语笔译,全日制,(01)典籍翻译,,专业：8(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10145)东北大学,统考,(011)外国语学院,(055101)(专业学位)英语笔译,全日制,(01)英语笔译,,专业：19(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10141)大连理工大学,统考,(140)（主校区）外国语学院,(055101)(专业学位)英语笔译,全日制,(03)中国政治与外交话语翻译,,专业：8(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10141)大连理工大学,统考,(140)（主校区）外国语学院,(055102)(专业学位)英语口译,全日制,(02)法律口译,,专业：3(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10145)东北大学,统考,(011)外国语学院,(055102)(专业学位)英语口译,全日制,(01)英语口译,,专业：5(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10144)沈阳理工大学,统考,(011)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：22(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10141)大连理工大学,统考,(140)（主校区）外国语学院,(055105)(专业学位)日语笔译,全日制,(01)政治文化翻译,,专业：2(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
